mode,bwB,be_mbps,receptor,delivery_ratio,throughput_mbps,jitter_ms,join_time_s,rtt_p50_ms,rtt_p95_ms,rtt_p99_ms
baseline,100,10,B,1.0,6.999689039376335,0.010501971980080573,0.0,0.111,0.139,0.166
baseline,100,10,C,1.0,6.999666407561429,0.002401689614940726,0.0,0.111,0.14,0.165
adapt,100,10,B,1.0,3.8689274226453203,4.24748379422131,0.0,0.123,0.148,0.2
adapt,100,10,C,1.0,3.8615831527813733,11.753111727296352,0.0,0.125,0.166,0.181
baseline,100,30,B,1.0,6.99967340707618,0.02587771918356941,0.0,0.113,0.154,0.252
baseline,100,30,C,1.0,6.999690205968698,0.11254341708804219,0.0,0.112,0.158,0.237
adapt,100,30,B,1.0,3.8877818850536214,4.08244794216973,0.0,0.124,0.168,0.237
adapt,100,30,C,1.0,3.860448598930818,3.5327165182508686,0.0,0.124,0.15,0.225
baseline,100,60,B,1.0,6.999665707610723,0.14392198186139638,0.0,0.111,0.142,0.179
baseline,100,60,C,1.0,6.999706304983025,0.00659923794164623,0.0,0.114,0.142,0.17
adapt,100,60,B,1.0,3.866118908731428,4.95785416951357,0.0,0.126,0.172,0.251
adapt,100,60,C,1.0,3.8411477441309714,3.6382063741503954,0.0,0.125,0.153,0.202
baseline,100,90,B,1.0,6.999687172829361,0.003608758672584561,0.0,0.111,0.14,0.26
baseline,100,90,C,1.0,6.999690905924303,0.10311921196836038,0.0,0.111,0.125,0.151
adapt,100,90,B,1.0,3.887868580182424,4.081335280358063,0.0,0.124,0.155,0.235
adapt,100,90,C,1.0,3.865067505945721,7.91076501722667,0.0,0.125,0.17,0.275
baseline,50,10,B,1.0,6.9996745736633335,0.20877532468000756,0.0,0.112,0.139,0.244
baseline,50,10,C,1.0,6.999689506013233,0.004982606951807548,0.0,0.113,0.155,0.254
adapt,50,10,B,1.0,3.8878650812010056,4.08653800481804,0.0,0.123,0.154,0.177
adapt,50,10,C,1.0,3.861917138443644,11.85096095035628,0.0,0.123,0.164,0.296
baseline,50,30,B,1.0,6.99968273978429,0.006143274130646107,0.0,0.092,0.127,0.145
baseline,50,30,C,1.0,6.999676440203586,0.00666389320514593,0.0,0.09,0.124,0.142
adapt,50,30,B,1.0,3.852321159336544,3.958132571080762,0.0,0.123,0.151,0.232
adapt,50,30,C,1.0,3.8658393606344323,7.592559812920738,0.0,0.125,0.159,0.197
baseline,50,60,B,1.0,6.999705138385296,0.150858555628135,0.0,0.091,0.136,0.174
baseline,50,60,C,1.0,6.999711438017656,0.005367684347174516,0.0,0.109,0.146,0.176
adapt,50,60,B,1.0,3.887878040422976,4.092739931795818,0.0,0.124,0.148,0.175
adapt,50,60,C,1.0,3.86508734607469,7.876747272974445,0.0,0.123,0.173,0.214
baseline,50,90,B,1.0,6.999701405275173,0.016134212109560144,0.0,0.09,0.141,0.166
baseline,50,90,C,1.0,6.999690672605753,0.015297987656501122,0.0,0.091,0.121,0.144
adapt,50,90,B,1.0,3.8859435368201973,4.522931326543028,0.0,0.114,0.17,0.195
adapt,50,90,C,1.0,3.826853809108536,10.21478406339132,0.0,0.118,0.144,0.171
baseline,25,10,B,1.0,6.999678306744835,0.017256270548238677,0.0,0.11,0.142,0.179
baseline,25,10,C,1.0,6.999675740250875,0.00735690903963903,0.0,0.11,0.154,0.17
adapt,25,10,B,1.0,3.887854843476733,4.0974907028071,0.0,0.124,0.173,0.184
adapt,25,10,C,1.0,3.8650897938969258,8.212030245842934,0.0,0.124,0.156,0.184
baseline,25,30,B,1.0,6.999710738057945,0.01043145373136518,0.0,0.091,0.138,0.185
baseline,25,30,C,1.0,6.999713071257527,0.034333958048053254,0.0,0.112,0.143,0.169
adapt,25,30,B,1.0,3.8878412364583044,4.0973620983490955,0.0,0.115,0.182,0.316
adapt,25,30,C,1.0,3.865090566894065,7.90362004031832,0.0,0.107,0.153,0.27
baseline,25,60,B,1.0,6.99969183919866,0.00592001995562536,0.0,0.112,0.126,0.159
baseline,25,60,C,1.0,6.99970723826149,0.016042993480695548,0.0,0.11,0.135,0.251
adapt,25,60,B,1.0,3.887862100592172,4.087558444387608,0.0,0.124,0.169,0.183
adapt,25,60,C,1.0,3.8650730457014952,7.882000721244883,0.0,0.123,0.155,0.197
baseline,25,90,B,1.0,6.999708638179651,0.0031948233137480617,0.0,0.111,0.138,0.158
baseline,25,90,C,1.0,6.99968273978429,0.1620219342879059,0.0,0.106,0.129,0.208
adapt,25,90,B,1.0,3.887848363932269,4.098098449228297,0.0,0.124,0.176,0.275
adapt,25,90,C,1.0,3.8650502426226,8.215474558567506,0.0,0.125,0.17,0.204
baseline,10,10,B,1.0,6.999696738893119,0.14295691968621566,0.0,0.112,0.139,0.159
baseline,10,10,C,1.0,6.999692305835932,0.0027540343428997063,0.0,0.113,0.14,0.164
adapt,10,10,B,1.0,3.887864433242175,4.084430156449474,0.0,0.125,0.171,0.209
adapt,10,10,C,1.0,3.865447957438529,7.908458612536006,0.0,0.124,0.155,0.255
baseline,10,30,B,1.0,6.999644009208295,0.0092251632675826,0.0,0.109,0.14,0.206
baseline,10,30,C,1.0,6.9996995387216066,0.232345114514977,0.0,0.11,0.14,0.194
adapt,10,30,B,1.0,3.8855357847418,4.614954046933685,0.0,0.124,0.159,0.184
adapt,10,30,C,1.0,3.8318666239302335,6.100033559583713,0.0,0.123,0.156,0.192
baseline,10,60,B,1.0,6.99968320642035,0.005418065635051858,0.0,0.111,0.143,0.186
baseline,10,60,C,1.0,6.999675040298302,0.006404447255558985,0.0,0.112,0.149,0.167
adapt,10,60,B,1.0,3.861592548991556,7.2942028750343,0.0,0.125,0.157,0.185
adapt,10,60,C,0.9977180275821014,3.856962058184599,4.637607992873268,0.0,0.124,0.15,0.227
baseline,10,90,B,1.0,6.99966687419531,0.20867338952459777,0.0,0.112,0.137,0.196
baseline,10,90,C,1.0,6.9997079382205,0.12379817042439965,0.0,0.113,0.144,0.2
adapt,10,90,B,1.0,3.8878315172177413,4.092409518125267,0.0,0.124,0.165,0.179
adapt,10,90,C,1.0,3.825254239621366,3.4515967604739166,0.0,0.123,0.153,0.178
